,Date,cn,de,fi,gb,ru,se
365,2019-03-17,,Observance,,Local holiday,,
366,2019-03-18,,,,Local holiday,,
367,2019-03-20T21:58:32+00:00,,,,Season,,
368,2019-03-20T22:58:32+01:00,,Season,,,,Season
369,2019-03-20T23:58:32+02:00,,,Season,,,
370,2019-03-21,,,,21.0,,
371,2019-03-21T00:58:32+03:00,,,,,Season,
372,2019-03-21T05:58:32+08:00,Season,,,,,
373,2019-03-28,,Observance,,,,
374,2019-03-31,,,,Observance,,
375,2019-03-31T01:00:00+00:00,,,,Clock change/Daylight Saving Time,,
376,2019-03-31T02:00:00+01:00,,Clock change/Daylight Saving Time,,,,Clock change/Daylight Saving Time
377,2019-04-03,,,,Muslim,Muslim,
378,2019-04-05,National holiday,,,,,
379,2019-04-06,National holiday,,,,,
380,2019-04-07,National holiday,,,,,
381,2019-04-14,,Observance,,Christian,,
382,2019-04-18,,Observance,,Christian,,
383,2019-04-19,,National holiday,National holiday,National holiday,,National holiday
384,2019-04-20,,,,16.0,,Observance
385,2019-04-21,,Local holiday,National holiday,Observance,,National holiday
386,2019-04-22,,National holiday,National holiday,Clock change/Daylight Saving Time,,National holiday
387,2019-04-23,,Observance,,Season,,
388,2019-04-26,,,,Orthodox,,
389,2019-04-27,,,,19.0,,
390,2019-04-28,Weekend,,,Orthodox,Observance,
391,2019-04-29,,,,Orthodox,,
392,2019-04-30,,Observance,,,,Observance
393,2019-05-01,National holiday,National holiday,National holiday,,National holiday,National holiday
394,2019-05-02,National holiday,,,Hebrew,National holiday,
395,2019-05-03,National holiday,,,,National holiday,
396,2019-05-04,Observance,,,,,
397,2019-05-05,Weekend,Observance,,,,
398,2019-05-06,,,,Muslim,Muslim,
399,2019-05-09,,,,Hebrew,National holiday,
400,2019-05-10,,,,,National holiday,
401,2019-05-12,,Observance,Observance,,,
402,2019-05-23,,Observance,,Hebrew,,
403,2019-05-26,,,,,,Observance
404,2019-05-27,,,,National holiday,,
405,2019-05-30,,Observance,National holiday,Christian,,National holiday
406,2019-05-31,,,,Muslim,Muslim,
407,2019-06-01,Observance,Observance,,,,
408,2019-06-03,,Observance,,,,
409,2019-06-04,,,,Muslim,Muslim,
410,2019-06-06,,Observance,,,,National holiday
411,2019-06-07,National holiday,,,,,
412,2019-06-08,,,,Observance,,Observance
413,2019-06-09,,Local holiday,National holiday,16.0,,National holiday
414,2019-06-10,,National holiday,,Christian,,
415,2019-06-12,,,,,National holiday,
416,2019-06-14,,Observance,,,,
417,2019-06-16,,Observance,,Local holiday,,
418,2019-06-20,,15.0,,Christian,,
419,2019-06-21,,,Observance,,,Observance
420,2019-06-21T16:54:14+01:00,,,,Season,,
421,2019-06-21T17:54:14+02:00,,Season,,,,Season
422,2019-06-21T18:54:14+03:00,,,Season,,Season,
423,2019-06-21T23:54:14+08:00,Season,,,,,
424,2019-06-22,,,National holiday,Observance,,National holiday
425,2019-06-29,,Observance,,,,
426,2019-07-01,Observance,,,,,
427,2019-07-11,Observance,,,,,
428,2019-07-12,,,,Local holiday,,
429,2019-08-01,Observance,,,,,
430,2019-08-05,,,,Common local holiday,,
